epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3121.19,0.27786,0.36728,0.2126,0.79641,0.98828,0.97388,0.99163,0.96949,0.98634,0.97291,0.99036,0.93727,0.22177,0.44663,0.18875,0.78596,0.00057925,0.00057925,0.00057925
87,3157.06,0.27569,0.36633,0.21188,0.79544,0.99168,0.97227,0.9912,0.96994,0.99095,0.97196,0.99042,0.94118,0.2167,0.44373,0.1847,0.78597,0.0005743,0.0005743,0.0005743
88,3193.09,0.27318,0.36969,0.2103,0.79617,0.99006,0.97604,0.99293,0.97327,0.98903,0.97503,0.99157,0.94091,0.21841,0.41921,0.18255,0.78445,0.00056935,0.00056935,0.00056935
89,3229.05,0.27432,0.36705,0.21063,0.79682,0.99212,0.97503,0.99306,0.97256,0.99297,0.97392,0.99128,0.93916,0.21775,0.42046,0.181,0.78246,0.0005644,0.0005644,0.0005644
90,3264.93,0.27333,0.3646,0.20854,0.79729,0.9896,0.97491,0.99193,0.97181,0.98873,0.97406,0.99069,0.94197,0.21375,0.41171,0.18301,0.78219,0.00055945,0.00055945,0.00055945
91,3300.85,0.26844,0.35487,0.20544,0.79422,0.99265,0.97165,0.99208,0.97326,0.99069,0.97134,0.99062,0.94019,0.21611,0.42763,0.18292,0.78317,0.0005545,0.0005545,0.0005545
92,3336.63,0.26953,0.35545,0.20578,0.79583,0.99081,0.97343,0.99254,0.97331,0.98096,0.98258,0.99146,0.93902,0.21472,0.42694,0.1815,0.78275,0.00054955,0.00054955,0.00054955
93,3372.4,0.27136,0.36043,0.209,0.7954,0.99223,0.96624,0.99234,0.97155,0.99049,0.96764,0.99121,0.94044,0.2183,0.42921,0.1814,0.78274,0.0005446,0.0005446,0.0005446
94,3408.43,0.27481,0.36712,0.20865,0.79478,0.99027,0.97033,0.99053,0.96926,0.99015,0.96994,0.99024,0.93584,0.22113,0.4263,0.18096,0.78738,0.00053965,0.00053965,0.00053965
95,3444.53,0.27257,0.36422,0.20775,0.79618,0.9893,0.9722,0.99225,0.97282,0.9887,0.97169,0.99118,0.93865,0.2151,0.42674,0.18326,0.78329,0.0005347,0.0005347,0.0005347
